
--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---


--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---

📊 BTC/USDT   | قیمت: 1,137,398,652 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 UNI/USDT   | قیمت: 65,484     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 LTC/USDT   | قیمت: 801,761    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 BCH/USDT   | قیمت: 4,357,756  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 POL/USDT   | قیمت: 1,417      تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 ALGO/USDT  | قیمت: 1,579      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 XLM/USDT   | قیمت: 3,375      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 HBAR/USDT  | قیمت: 1,237      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 GRT/USDT   | قیمت: 316        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 ANKR/USDT  | قیمت: 68.00      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 TNSR/USDT  | قیمت: 579        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 2Z/USDT    | قیمت: 1,252      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 RENDER/USDT | قیمت: 27,845     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 APE/USDT   | قیمت: 2,757      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 DYDX/USDT  | قیمت: 2,271      تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 BASED/USDT | قیمت: 1,724      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 ONE/USDT   | قیمت: 22.10      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18
📊 BICO/USDT  | قیمت: 251        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:28:18

--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---

📊 BTC/USDT   | قیمت: 11,343,694,679 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 ETH/USDT   | قیمت: 322,450,000 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 SOL/USDT   | قیمت: 13,810,376 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 AVAX/USDT  | قیمت: 1,191,895  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 NEAR/USDT  | قیمت: 338,337    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 SUI/USDT   | قیمت: 131,331    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 TRX/USDT   | قیمت: 58,919     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 XRP/USDT   | قیمت: 197,437    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 ADA/USDT   | قیمت: 30,287     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 DOGE/USDT  | قیمت: 13,277     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 LINK/USDT  | قیمت: 1,429,110  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 UNI/USDT   | قیمت: 654,238    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 LTC/USDT   | قیمت: 8,016,762  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 BCH/USDT   | قیمت: 43,577,563 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 POL/USDT   | قیمت: 14,210     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 ALGO/USDT  | قیمت: 15,432     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 XLM/USDT   | قیمت: 33,717     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 HBAR/USDT  | قیمت: 12,376     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 GRT/USDT   | قیمت: 3,160      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 ANKR/USDT  | قیمت: 675        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 DOGS/USDT  | قیمت: 7.20       تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 TNSR/USDT  | قیمت: 5,846      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 2Z/USDT    | قیمت: 12,524     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 RENDER/USDT | قیمت: 277,724    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 APE/USDT   | قیمت: 27,578     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 DYDX/USDT  | قیمت: 22,712     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 BASED/USDT | قیمت: 17,246     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 ONE/USDT   | قیمت: 219        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34
📊 BICO/USDT  | قیمت: 2,513      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:30:34

--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---

📊 BTC/USDT   | قیمت: 11,352,188,359 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 ETH/USDT   | قیمت: 322,500,000 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 SOL/USDT   | قیمت: 13,899,701 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 AVAX/USDT  | قیمت: 1,191,825  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 NEAR/USDT  | قیمت: 338,551    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 SUI/USDT   | قیمت: 131,331    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 TRX/USDT   | قیمت: 59,250     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 XRP/USDT   | قیمت: 197,100    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 ADA/USDT   | قیمت: 30,287     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 DOGE/USDT  | قیمت: 13,278     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 LINK/USDT  | قیمت: 1,429,110  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 UNI/USDT   | قیمت: 654,591    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 LTC/USDT   | قیمت: 8,006,913  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 BCH/USDT   | قیمت: 43,973,987 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 POL/USDT   | قیمت: 14,210     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 ALGO/USDT  | قیمت: 15,797     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 XLM/USDT   | قیمت: 33,976     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 HBAR/USDT  | قیمت: 12,376     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 GRT/USDT   | قیمت: 3,160      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 ANKR/USDT  | قیمت: 680        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 TNSR/USDT  | قیمت: 5,817      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 2Z/USDT    | قیمت: 12,524     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 RENDER/USDT | قیمت: 278,621    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 APE/USDT   | قیمت: 27,578     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 DYDX/USDT  | قیمت: 22,719     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 BASED/USDT | قیمت: 17,311     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 ONE/USDT   | قیمت: 219        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04
📊 BICO/USDT  | قیمت: 2,516      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:36:04

--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---

📊 BTC/USDT   | قیمت: 11,350,905,228 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 ETH/USDT   | قیمت: 322,499,000 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 SOL/USDT   | قیمت: 13,869,788 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 AVAX/USDT  | قیمت: 1,191,825  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 NEAR/USDT  | قیمت: 338,551    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 SUI/USDT   | قیمت: 131,331    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 TRX/USDT   | قیمت: 59,250     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 XRP/USDT   | قیمت: 197,485    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 ADA/USDT   | قیمت: 30,289     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 DOGE/USDT  | قیمت: 13,285     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 LINK/USDT  | قیمت: 1,422,562  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 UNI/USDT   | قیمت: 652,262    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 LTC/USDT   | قیمت: 7,982,110  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 BCH/USDT   | قیمت: 43,973,987 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 POL/USDT   | قیمت: 14,210     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 ALGO/USDT  | قیمت: 15,798     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 XLM/USDT   | قیمت: 33,976     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 HBAR/USDT  | قیمت: 12,327     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 GRT/USDT   | قیمت: 3,160      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 ANKR/USDT  | قیمت: 677        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 TNSR/USDT  | قیمت: 5,817      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 2Z/USDT    | قیمت: 12,524     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 RENDER/USDT | قیمت: 278,621    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 APE/USDT   | قیمت: 27,578     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 DYDX/USDT  | قیمت: 22,837     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 BASED/USDT | قیمت: 17,311     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 ONE/USDT   | قیمت: 220        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33
📊 BICO/USDT  | قیمت: 2,517      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:41:33

--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---

📊 BTC/USDT   | قیمت: 11,350,914,233 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 ETH/USDT   | قیمت: 321,970,246 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 SOL/USDT   | قیمت: 13,826,248 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 AVAX/USDT  | قیمت: 1,191,825  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 NEAR/USDT  | قیمت: 338,551    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 SUI/USDT   | قیمت: 131,331    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 TRX/USDT   | قیمت: 59,053     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 XRP/USDT   | قیمت: 197,473    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 ADA/USDT   | قیمت: 30,290     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 DOGE/USDT  | قیمت: 13,285     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 LINK/USDT  | قیمت: 1,422,562  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 UNI/USDT   | قیمت: 652,262    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 LTC/USDT   | قیمت: 7,982,110  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 BCH/USDT   | قیمت: 43,973,987 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 POL/USDT   | قیمت: 14,200     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 ALGO/USDT  | قیمت: 15,798     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 XLM/USDT   | قیمت: 33,976     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 HBAR/USDT  | قیمت: 12,418     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 GRT/USDT   | قیمت: 3,160      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 ANKR/USDT  | قیمت: 678        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 TNSR/USDT  | قیمت: 5,817      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 2Z/USDT    | قیمت: 12,524     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 RENDER/USDT | قیمت: 278,621    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 APE/USDT   | قیمت: 27,578     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 DYDX/USDT  | قیمت: 22,837     تومان | وضعیت: SELL               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 BASED/USDT | قیمت: 17,311     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 ONE/USDT   | قیمت: 220        تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02
📊 BICO/USDT  | قیمت: 2,527      تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:43:02

--- چرخه بعدی پایش در ۳۰۰ ثانیه آینده ---

📊 BTC/USDT   | قیمت: 11,351,266,941 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 ETH/USDT   | قیمت: 322,488,100 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 SOL/USDT   | قیمت: 13,869,284 تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 AVAX/USDT  | قیمت: 1,191,825  تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 NEAR/USDT  | قیمت: 338,575    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 SUI/USDT   | قیمت: 131,331    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 TRX/USDT   | قیمت: 59,013     تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
📊 XRP/USDT   | قیمت: 197,488    تومان | وضعیت: HOLD               | تعداد: -        | هدف: -          | استاپ: -         | سود/زیان: - | زمان: 1405-04-20 20:47:44
